pseudocode,state,district,block,rural_urban,lgd_vill_name,school_category,school_type,lowclass,highclass,managment,pincode,pre_primary,shift_school,resi_school,class_1_students,class_2_students,class_3_students,class_4_students,class_5_students,class_6_students,class_7_students,class_8_students,class_9_students,class_10_students,class_11_students,class_12_students,total_students,total_tch,regular,contract,part_time,total_class_rooms,classrooms_in_good_condition,classrooms_needs_minor_repair,classrooms_needs_major_repair,total_boys_toilet,total_girls_toilet,desktop,laptop,tablet,internet,electricity_availability,library_availability,playground_available,structure_name,structure_status,classroom_repair_gap,has_internet,has_library
8241379,UTTAR PRADESH,BAREILLY,NAWABGANJ,1,Hafiz Ganj,2,3,1,8,5,243407,1,2,3,58,47,36,31,40,12,2,0,0,0,0,0,226,4,0,4,0,11,11,0,0,1,1,0,1,1,1,1,1,1,Upper Primary (1–8),STANDARD,0,True,True
1835919,UTTAR PRADESH,BAREILLY,RAMNAGAR,1,Kala Bhoj,4,3,6,8,5,243303,9,2,3,0,0,0,0,0,58,40,9,0,0,0,0,107,5,4,1,0,6,6,0,0,1,1,0,0,0,1,1,1,2,Upper Primary (6–8),STANDARD,0,True,True
3516289,UTTAR PRADESH,BAREILLY,RAMNAGAR,1,Barathanpur,1,3,1,5,5,243303,2,2,3,19,25,19,8,12,0,0,0,0,0,0,0,83,6,2,4,0,5,5,0,0,1,1,0,0,0,1,1,1,2,Primary (1–5),STANDARD,0,True,True
5308057,UTTAR PRADESH,BAREILLY,RAMNAGAR,1,Ram Nagar,1,3,1,5,5,243303,2,2,3,27,23,21,31,45,0,0,0,0,0,0,0,147,0,0,0,0,5,5,0,0,5,3,0,0,0,1,1,1,1,Primary (1–5),STANDARD,0,True,True
7514836,UTTAR PRADESH,BAREILLY,RAMNAGAR,1,Jagannathpur,2,3,1,8,5,243303,2,2,3,33,48,30,48,35,69,65,51,0,0,0,0,379,16,16,0,0,13,13,0,0,3,3,5,1,50,1,1,1,1,Upper Primary (1–8),STANDARD,0,True,True
2958335,UTTAR PRADESH,BAREILLY,BHUTA,1,Tisuwa,1,3,1,5,5,243006,1,2,3,30,16,10,10,6,0,0,0,0,0,0,0,72,9,9,0,0,7,7,0,0,2,2,1,1,0,1,1,1,1,Primary (1–5),STANDARD,0,True,True
8393050,UTTAR PRADESH,BAREILLY,FATEHGANJ,1,Amaur,2,3,1,8,5,243201,2,2,3,8,8,7,8,11,23,19,7,0,0,0,0,91,6,6,0,0,8,8,0,0,5,10,0,1,1,1,1,1,1,Upper Primary (1–8),STANDARD,0,True,True
8069997,UTTAR PRADESH,BAREILLY,FATEHGANJ,2,,1,3,1,5,5,243501,2,2,3,6,14,8,11,10,0,0,0,0,0,0,0,49,5,4,1,0,5,5,0,0,1,1,0,1,0,2,1,2,1,Primary (1–5),STANDARD,0,False,False
4883682,UTTAR PRADESH,BAREILLY,FATEHGANJ,2,,1,3,1,5,5,243501,2,2,3,6,3,4,3,5,0,0,0,0,0,0,0,21,3,3,0,0,5,5,0,0,1,1,0,0,0,2,1,2,2,Primary (1–5),STANDARD,0,False,False
4588106,UTTAR PRADESH,BAREILLY,FATEHGANJ,2,,1,3,1,5,5,243501,2,2,3,22,20,28,18,16,0,0,0,0,0,0,0,104,3,3,0,0,5,5,0,0,1,1,0,0,0,2,2,2,2,Primary (1–5),STANDARD,0,False,False
6961815,UTTAR PRADESH,BAREILLY,FATEHGANJ,1,Sheeshgarh,1,3,1,5,5,243505,2,2,1,26,27,26,32,19,0,0,0,0,0,0,0,130,3,3,0,0,0,0,0,0,1,1,0,0,0,2,2,2,2,Primary (1–5),STANDARD,0,False,False
5058091,UTTAR PRADESH,BAREILLY,FATEHGANJ,1,Dhantiya,2,3,1,8,5,243502,1,2,3,76,61,59,57,48,39,27,28,0,0,0,0,395,18,18,0,0,17,17,0,0,2,2,25,2,0,1,1,1,1,Upper Primary (1–8),STANDARD,0,True,True
9782386,UTTAR PRADESH,BAREILLY,FATEHGANJ,1,Tiliya Pur,7,3,6,10,5,243502,9,2,3,0,0,0,0,0,1,0,5,172,124,0,0,302,6,0,6,0,10,10,0,0,2,2,10,2,0,1,1,1,1,Secondary (6–10),STANDARD,0,True,True
6642253,UTTAR PRADESH,BAREILLY,FATEHGANJ,1,Rahpura Jagir,1,3,1,5,5,243001,2,2,3,7,7,5,9,5,0,0,0,0,0,0,0,33,5,5,0,0,5,5,0,0,2,2,0,0,0,2,1,2,1,Primary (1–5),STANDARD,0,False,False
1244791,UTTAR PRADESH,BAREILLY,FATEHGANJ,1,Chitauli,5,3,6,12,1,243501,9,2,3,0,0,0,0,0,0,0,0,50,0,50,0,100,0,0,0,0,14,14,0,0,2,2,0,0,0,1,1,2,2,Higher Secondary (6–12),STANDARD,0,True,False
1533873,UTTAR PRADESH,BAREILLY,FATEHGANJ,1,Bafari Buzurg,1,3,1,5,5,243505,2,2,2,26,28,13,16,16,0,0,0,0,0,0,0,99,5,5,0,0,10,10,0,0,1,1,0,0,0,2,2,2,1,Primary (1–5),STANDARD,0,False,False
7381830,UTTAR PRADESH,BAREILLY,FATEHGANJ,1,Kulchha,1,3,1,5,5,243505,2,2,3,37,21,27,28,39,0,0,0,0,0,0,0,152,5,4,1,0,5,5,0,0,2,2,1,0,2,2,2,2,1,Primary (1–5),STANDARD,0,False,False
5243028,UTTAR PRADESH,BAREILLY,KYARA,1,Kargaina,1,3,1,5,5,243001,2,2,3,0,0,2,2,2,0,0,0,0,0,0,0,6,4,4,0,0,5,5,0,0,15,15,0,0,0,2,1,1,2,Primary (1–5),STANDARD,0,False,True
1352448,UTTAR PRADESH,BAREILLY,SHERGARH,2,,5,3,6,12,1,243505,9,2,3,0,0,0,0,0,0,0,0,13,0,35,0,48,0,0,0,0,18,18,0,0,7,7,0,0,0,1,1,1,1,Higher Secondary (6–12),STANDARD,0,True,True
4407046,UTTAR PRADESH,BAREILLY,SHERGARH,1,Sharif Nagar,1,3,1,5,5,243201,2,2,1,11,14,8,6,5,0,0,0,0,0,0,0,44,3,1,2,0,8,8,0,0,2,2,0,1,0,2,2,1,1,Primary (1–5),STANDARD,0,False,True
1437598,UTTAR PRADESH,BAREILLY,SHERGARH,2,,1,3,1,5,5,243505,2,2,3,13,12,11,11,8,0,0,0,0,0,0,0,55,8,8,0,0,10,10,0,0,2,3,0,0,0,2,2,1,2,Primary (1–5),STANDARD,0,False,True
6335418,UTTAR PRADESH,BAREILLY,MAJHGAWAN,1,Shivpuri,1,3,1,5,5,243303,2,2,3,71,17,27,29,23,0,0,0,0,0,0,0,167,6,6,0,0,6,6,0,0,1,1,0,1,0,1,1,1,1,Primary (1–5),STANDARD,0,True,True
5477344,UTTAR PRADESH,BAREILLY,AONLA,2,,1,3,1,5,5,243301,2,2,3,7,6,7,6,3,0,0,0,0,0,0,0,29,1,1,0,0,5,5,0,0,1,1,0,0,0,1,1,1,2,Primary (1–5),STANDARD,0,True,True
5754513,UTTAR PRADESH,BAREILLY,BAHERI TOWN,2,,2,3,1,8,5,243201,1,2,3,20,37,20,35,34,46,44,40,0,0,0,0,276,7,7,0,0,12,12,0,0,5,5,1,1,0,1,1,2,1,Upper Primary (1–8),STANDARD,0,True,False
3129817,UTTAR PRADESH,BAREILLY,BAHERI,1,Gudwara,1,3,1,5,5,243201,2,2,3,29,19,17,24,18,0,0,0,0,0,0,0,107,5,1,2,2,5,5,0,0,2,3,1,0,0,2,1,1,1,Primary (1–5),STANDARD,0,False,True
4220648,UTTAR PRADESH,BAREILLY,BAHERI,1,Gudwara,4,3,6,8,5,243201,9,2,3,0,0,0,0,0,11,17,11,0,0,0,0,39,4,1,1,2,3,3,0,0,2,3,0,0,0,2,1,1,1,Upper Primary (6–8),STANDARD,0,False,True
1337554,UTTAR PRADESH,BAREILLY,BAHERI,1,Naula,1,3,1,5,5,243201,2,2,3,9,18,3,5,8,0,0,0,0,0,0,0,43,2,2,0,0,5,5,0,0,1,2,0,0,0,2,1,1,1,Primary (1–5),STANDARD,0,False,True
